feature	SRR5866258	SRR5866262	SRR5866263	SRR5866264	SRR5866265	SRR5866266	SRR5866267	SRR5866270	SRR5866271	SRR5866272	SRR5866273	SRR5866274	SRR5866275	SRR5866276	SRR5866277	SRR5866278	SRR5866279	SRR5866280	SRR5866281	SRR5866282	SRR5866283	SRR5866284	SRR5866285	SRR5866286	SRR5866287	SRR5866288	SRR5866289	SRR5866290	SRR5866291	SRR5866292	SRR5866293	SRR5866294	SRR5866295	SRR5866296	SRR5866297	SRR5866298	SRR5866299	SRR5866300	SRR5866301	SRR5866302	SRR5866303	SRR5866304	SRR5866305	SRR5866306	SRR5866307	SRR5866308	SRR5866309	SRR5866310	SRR5866311	SRR5866312	SRR5866313	SRR5866317	SRR5866318	SRR5866343	SRR5866344	SRR5866345	SRR5866346	SRR5866347	SRR5866348	SRR5866349	SRR5866350	SRR5866351	SRR5866352	SRR5866353	SRR5866354	SRR5866355	SRR5866356	SRR5866357	SRR5866358	SRR5866359	SRR5866360	SRR5866361	SRR5866362	SRR5866363	SRR5866364	SRR5866365	SRR5866366	SRR5866367	SRR5866368	SRR5866369	SRR5866370	SRR5866371	SRR5866372	SRR5866409	SRR5866410	SRR5866411	SRR5866412	SRR5866413	SRR5866414	SRR5866415	SRR5866416	SRR5866417	SRR5866418	SRR5866419	SRR5866420	SRR5866421	SRR5866422	SRR5866424	SRR5866425	SRR5866426	SRR5866427	SRR5866428	SRR5866429	SRR5866430	SRR5866432	SRR5866433	SRR5866439	SRR5866440	SRR5866443	SRR5866448	SRR5866459	SRR5866460	SRR5866462	SRR5866463	SRR5866464	SRR5866465	SRR5866466	SRR5866467	SRR5866468	SRR5866489	SRR5866490	SRR5866491	SRR5866492	SRR5866493	SRR5866494	SRR5866495	SRR5866496	SRR5866497	SRR5866498	SRR5866499	SRR5866500	SRR5866501	SRR5866502	SRR5866503	SRR5866504	SRR5866505	SRR5866506	SRR5866507	SRR5866508	SRR5866509	SRR5866512	SRR5866514	SRR5866515	SRR5866517	SRR5866518	SRR5866519	SRR5866520	SRR5866531	SRR5866532	SRR5866533	SRR5866534	SRR5866535	SRR5866536	SRR5866537	SRR5866541	SRR5866542	SRR5866543	SRR5866544	SRR5866545	SRR5866546	SRR5866547	SRR5866548	SRR5866558	SRR5866559	SRR5866560	SRR5866561	SRR5866562	SRR5866563	SRR5866566	SRR5866567	SRR5866570	SRR5866571	SRR5866591	SRR5866592	SRR5866593	SRR5866594	SRR5866595	SRR5866596	SRR5866597	SRR5866598	SRR5866599	SRR5866600
total_reads	22194324.0	17620493.0	21981848.0	28328209.0	32617566.0	35868656.0	16649165.0	30642581.0	34333180.0	34706561.0	41795345.0	26561755.0	54675315.0	26580717.0	25632930.0	26971913.0	30893983.0	24484560.0	16824100.0	29854432.0	20602082.0	32779323.0	23793306.0	29948174.0	34752725.0	39712595.0	24035506.0	43487494.0	39856930.0	32542042.0	24637920.0	31561901.0	33757320.0	37502477.0	43894278.0	28133807.0	34450379.0	45334359.0	35516842.0	37827344.0	28504959.0	33308539.0	55725425.0	32297984.0	34733014.0	29317859.0	27841124.0	31585525.0	66065943.0	34388998.0	102354196.0	26145511.0	23304889.0	38217376.0	32990334.0	21572231.0	20211680.0	44095909.0	34973528.0	30812362.0	35563633.0	27691878.0	31378608.0	37826278.0	29112259.0	30453320.0	39712945.0	24773803.0	24800401.0	27521486.0	43369847.0	28971277.0	35282682.0	32841606.0	27459779.0	24211924.0	31931967.0	27640465.0	25249549.0	27955270.0	27674094.0	36210394.0	29115036.0	31304539.0	73305992.0	33012460.0	36430172.0	20400553.0	29324648.0	25402049.0	23239561.0	31313245.0	46089240.0	28535185.0	30617212.0	35106318.0	44694485.0	30864243.0	32634592.0	27739558.0	31310556.0	35063438.0	28883282.0	28574670.0	35199617.0	27730380.0	39637256.0	42287246.0	28939890.0	36049312.0	38952521.0	39886961.0	26044438.0	34856948.0	47989610.0	25969099.0	32017617.0	28240701.0	25678261.0	42916433.0	24584467.0	31241845.0	28540213.0	32313816.0	44708192.0	29319206.0	30600839.0	21530431.0	27312555.0	23833041.0	27781313.0	26659532.0	33540952.0	24858022.0	31010479.0	29311636.0	36402363.0	33980622.0	38084053.0	29299083.0	36005829.0	45894584.0	31601638.0	38210061.0	32821383.0	33443342.0	29287223.0	31970065.0	30228684.0	83651243.0	58675866.0	39931802.0	49896886.0	32403346.0	28851552.0	28025491.0	38356975.0	31172751.0	26906333.0	37225176.0	41550202.0	35716257.0	28206139.0	45376498.0	43169865.0	24043364.0	36694221.0	30083020.0	29894913.0	30566874.0	30022943.0	70569833.0	28585768.0	24243071.0	32201213.0	32943684.0	27294942.0	23581953.0	25071150.0	34550176.0	32580177.0	36505263.0
filtered_reads	21841179.0	17289690.0	21743359.0	27784374.0	32037591.0	35277513.0	16187822.0	30126558.0	33724740.0	34288816.0	40807068.0	26007844.0	53425389.0	26146246.0	25117301.0	26508318.0	30386608.0	23959561.0	16582328.0	29432161.0	20375041.0	32134105.0	23391474.0	29534805.0	34191140.0	39113580.0	23577744.0	42738729.0	39070456.0	31913488.0	24279639.0	31107103.0	33342135.0	37049497.0	43415014.0	27821420.0	34081539.0	44797407.0	35049906.0	37222107.0	28140326.0	32872597.0	54856904.0	31856733.0	34210562.0	28730376.0	27314124.0	31149610.0	65384380.0	33899342.0	101290399.0	25644379.0	22816792.0	37798542.0	32530869.0	21274847.0	19845945.0	42987295.0	34448139.0	30396403.0	34991722.0	27236098.0	30853102.0	37255736.0	28659503.0	29737433.0	39135174.0	23519314.0	23931485.0	27057569.0	42278811.0	28454535.0	34704396.0	32234565.0	27078149.0	23749649.0	31362317.0	27250158.0	24754465.0	27447349.0	27191782.0	35660578.0	28694656.0	30734243.0	71841955.0	32502687.0	35695620.0	20134881.0	28524321.0	24586775.0	22634255.0	30566273.0	45014592.0	27830755.0	29877507.0	34516476.0	43759251.0	30335956.0	32102666.0	27259537.0	30833711.0	34526465.0	28451381.0	28136346.0	34490861.0	27327014.0	38776594.0	41543232.0	28504841.0	35550442.0	37861510.0	38547598.0	25723803.0	34480505.0	47382087.0	25430933.0	31342719.0	27929417.0	25371637.0	42325101.0	24158596.0	30692093.0	28005559.0	31315635.0	43949287.0	28800226.0	30031650.0	21228558.0	26858238.0	23492444.0	27212141.0	26021501.0	33020915.0	24573250.0	30525817.0	28861412.0	35626931.0	33107061.0	37119774.0	28611441.0	35304485.0	45153555.0	31083479.0	37640110.0	32267944.0	32821941.0	28714369.0	31300359.0	29578090.0	82408819.0	57726266.0	39162345.0	49131855.0	31921675.0	27751790.0	27085473.0	37132238.0	30200207.0	25953147.0	36338272.0	40930434.0	34944438.0	27795056.0	44635493.0	42575985.0	23625562.0	36197157.0	29716712.0	29451695.0	30184861.0	29601990.0	69316883.0	28221381.0	23968959.0	31790998.0	32550928.0	26798046.0	23206529.0	24762434.0	34072338.0	32062623.0	35924802.0
category	8094492.73665	6208160.06954	8209879.08481	10357150.80137	11722387.79283	13110798.37967	5721672.83588	10760853.11013	12278774.62246	12374888.61843	15038099.63204	9463300.50193	19327673.80907	9820612.4943	9278607.58471	10054680.19384	11415466.69267	9038987.69712	5998065.07298	11098933.22248	7449452.98573	11954932.11	8604488.70673	10685124.0797	12350882.23665	14806494.80421	8570070.05066	15485262.92014	13530832.40511	11272590.87923	9568478.95992	12438274.0705	12659753.53182	14356951.73573	17010249.89546	10772017.24605	13383121.02437	17155942.6713	13523783.66724	14222100.95092	10189499.88611	12027548.16004	20358747.55587	12354251.27731	12475105.11648	10551837.37017	9791078.63083	11875584.30663	24186909.23725	12786835.21566	38512561.16105	8742633.51863	7739354.2604	13851298.14666	12248534.25269	7795372.41253	7165398.48704	15360951.14998	13290928.8223	11966337.42119	13922900.97549	10120870.0708	11540436.83273	14046283.05522	10733606.94621	10978067.91656	14969039.91376	7786563.16927	8637285.50521	10286093.79742	15407773.09308	10530799.0575	12737452.71388	11533974.73868	9443668.34407	8975381.87265	12154906.87892	10366993.33948	8800476.82011	10780022.05973	10562141.28791	12891194.434	10498269.58967	11680101.16372	26478649.81151	11931731.91065	12246335.68738	7017801.34683	10138819.57007	8792301.64622	7971313.23234	11192701.37462	16063747.05977	9210591.78016	10103045.81313	13569721.53478	15767136.40968	11402850.53038	11968606.71595	10322143.77937	11064748.95748	12743575.65493	10503286.68123	10932691.69613	11694649.81515	10546479.84961	13948099.65097	15162495.75023	10736118.39343	12648996.32354	13929971.04749	13396488.29697	8965421.40995	13315174.56115	18037248.09368	9471629.79656	11841849.82321	10607834.76958	9687497.81792	15659196.81818	8955803.50409	11327615.92325	10562965.24785	11055997.44654	16450834.3475	10868872.8428	10904023.26464	7578161.86497	9774560.4177	8440036.78388	10293103.64943	9492019.52807	12148527.29777	9494616.93527	11447267.12539	10860766.9186	13307065.84618	11997878.61095	13644265.50564	10711058.76153	12854433.3639	16673153.38665	11387543.69472	13786588.32416	11608264.18216	11558764.8313	10246764.06003	11386689.51011	10670501.88046	30072529.73568	21277807.7202	14381603.02329	17806857.15621	11117265.97933	9273491.21537	9303260.76617	13232671.57531	10447087.39166	8899338.91889	13035100.90236	15242559.33751	12718801.59871	9805496.49384	15979043.42619	15580267.19056	8848643.98588	13488944.50405	10792203.58458	11363779.55687	11823355.20203	10694074.22135	24845422.86573	10867317.26633	9591915.88332	12107710.3575	12864840.01881	10022856.35996	8912702.33783	9586195.06417	13159416.32795	12058832.26691	13164291.68163
ko:K00001	2286.06444	2470.28661	2362.76602	3018.3757	2925.93086	2287.04141	1102.98914	3040.9045	2585.30131	4807.89779	4544.67434	3371.76913	6970.97353	2086.0392	1989.99705	2981.76038	2474.40922	1876.16826	1443.22448	4274.78093	1565.43358	2878.48228	2327.39231	2510.0129	3331.88419	4176.61325	2355.52022	3926.30342	2414.39798	1506.75713	2141.86675	3019.11695	3383.11314	3914.95785	4510.45923	2894.99037	4762.34049	5608.97682	4360.96698	4631.732	2511.49653	2804.39885	4550.63418	2906.65822	4076.81837	2482.66258	2860.70041	4421.28905	6123.47657	4560.11356	13391.84986	1293.89673	1102.67708	4993.34677	4187.46077	1177.18107	1316.60246	6813.44486	4856.1346	4087.3883	5492.20636	3658.63297	4272.54657	1637.84071	1474.53226	4455.20501	2602.25856	1675.66837	1415.98049	4642.27148	4867.77261	4573.55233	6364.84601	3444.57408	2774.87328	3468.61384	6118.35635	3709.70379	2132.50329	3574.111	4642.17507	5108.87341	3271.82146	3194.33772	8479.13494	2537.89996	2999.99619	2472.42016	1939.37138	2018.57636	1770.11677	2232.99142	4377.70124	1511.54153	2102.44093	4655.36787	3646.96513	1609.67903	1788.83362	1685.25115	1262.65533	1911.09883	2234.82871	1849.61791	3285.69545	4195.02783	3594.39859	4299.08185	2991.60511	2601.73345	4816.76142	3889.82966	2493.8501	3380.75115	4360.84673	2210.0574	3461.68222	2532.04828	1961.42872	3658.58649	2332.62912	2705.98828	3310.05189	2490.69302	6389.47007	3399.73932	2652.72766	1974.8544	1683.22804	1849.22536	1446.02432	1459.87566	2866.14205	1371.11129	2850.01784	2513.11991	2933.07351	2422.18385	2333.30801	2016.24354	2947.54303	3153.09531	2459.86904	2772.72847	2034.82513	1916.75655	2004.77521	2094.65125	2489.10122	5956.22371	5959.43854	3174.71776	3224.11239	3648.76084	1686.9897	2372.6436	3090.71846	1618.59277	1374.008	1813.2371	2186.26668	2354.76058	2569.03075	3882.98657	2900.22426	2412.12229	2733.24549	1859.15061	3331.88071	3711.52509	3049.58348	5426.01048	1691.36738	961.85063	4438.79429	1493.83144	2500.40305	2277.1779	1358.50709	4048.93109	2796.68208	1988.25652
ko:K00002	116.74417	471.67238	237.26227	177.62205	216.20953	283.7908	214.29608	125.8564	608.63516	1012.46611	615.32839	279.35098	494.795	198.14014	312.21889	282.67992	372.35866	582.57097	183.84419	267.38393	150.65258	226.11365	281.23637	241.27936	476.17546	431.8378	690.75608	269.46265	477.88712	351.43811	871.67298	593.19802	353.27708	366.17914	883.96587	653.7418	530.00798	721.91664	647.38539	723.37138	712.48781	756.00853	254.78642	469.38632	777.87237	392.38631	804.02663	649.64262	973.90396	565.26202	1441.36227	244.98241	245.79775	537.67097	449.29035	324.8715	315.58148	647.78144	944.03251	423.08152	542.28836	512.85751	561.72414	80.68103	98.45063	253.25598	227.19187	258.25759	60.35046	513.66069	492.74191	347.37135	599.23179	238.86023	571.59656	524.81002	394.39209	385.72842	763.77523	171.46948	238.74999	183.45866	139.94018	589.92091	1136.57636	220.67293	305.88413	283.89169	437.15278	522.74684	477.84151	685.56778	652.00707	266.67966	381.67101	209.15837	523.12838	270.76897	463.30341	336.8214	2122.43424	2283.29437	1087.39749	1548.62197	551.88228	211.9943	516.22481	511.5257	244.21658	279.98099	691.43199	677.53254	146.05031	277.18367	492.14885	501.07585	481.93741	255.4178	211.19027	824.73085	341.70584	611.32292	348.51712	1229.64667	759.33151	744.86534	495.8838	170.92004	290.05873	123.27147	438.20528	448.70801	251.41838	158.12665	240.14418	235.33096	467.53064	532.18774	639.75936	582.41582	503.85207	695.88406	406.64823	433.33164	385.0879	347.63638	273.06291	573.53901	172.74808	644.53901	622.10697	654.44426	364.1	549.71988	1030.94669	1668.10103	992.37052	1236.28741	272.14677	189.31307	240.74594	340.50757	379.62203	759.90179	574.69057	373.15568	492.6496	215.41436	551.04731	541.89939	666.995	778.54399	236.31816	145.76849	775.04697	301.92396	429.64935	207.38651	518.93877	385.15745	504.24302	171.11536
ko:K00003	5561.80932	4017.21597	6118.18102	8391.01476	8242.76812	6556.09079	4092.20825	7520.20616	8261.69327	6789.44647	11766.24668	7468.81251	13642.0273	7067.52914	7532.63113	7937.4457	8542.0481	9814.3212	4136.09166	6680.11956	3862.63984	10069.54039	7255.82622	8197.35189	8491.97707	11264.75105	6677.46408	11639.18215	8917.79124	8182.48883	7501.04791	8958.29038	7003.32534	8860.45214	8685.84532	5534.01687	8970.60478	10357.72912	10144.88542	10989.02934	6605.6752	8540.4221	15599.64888	10044.72316	9361.4782	8524.0643	7867.08352	9987.05575	11146.03079	8376.15004	21520.01738	5916.54213	4609.22626	8116.95324	8847.31465	5830.58587	6381.21199	14763.92202	10988.43485	9799.04291	12151.29475	8549.69042	9714.51193	5753.69731	4932.88626	9887.66108	7349.654	5396.00012	4326.4617	8364.97261	12187.20445	7758.43387	8075.49933	8530.33512	4917.71054	7398.13831	10377.5646	8501.36355	7195.24212	7514.15343	7245.11881	11055.69439	7992.75034	9457.26179	23237.05623	9261.93439	9026.21138	3451.75311	8178.69602	8135.51807	5072.41591	9480.01061	11567.36237	6285.26736	7224.10859	12409.35753	12582.6259	8515.264	8642.82703	8494.76387	4706.72539	6715.90116	7274.29946	8134.81078	7385.30796	8036.30896	13067.78663	13000.11816	9598.45415	4834.78466	11852.5253	10183.87367	4841.19864	9996.47052	13572.05329	7832.50107	9926.15896	6565.31374	6606.74845	10641.06623	6855.03593	9463.11486	9761.52095	8933.52582	12461.3672	8918.24082	8713.5351	4729.52164	7030.97049	3541.42889	8903.19346	7180.40419	5910.38401	3842.29686	7218.97232	6964.57722	9706.29367	9306.27389	11491.00328	9774.85055	11192.05401	13987.15251	9188.26873	9072.31661	8665.55302	7978.42294	7155.58723	6680.96426	5253.90778	18383.17975	15236.24663	12949.76134	11206.53025	8525.44564	6786.16611	6223.13534	10389.59855	7618.89467	7296.3301	6637.19506	6438.86031	9359.68889	6125.04291	12699.98073	11915.9855	9173.33969	8623.80661	4062.33719	9225.37035	9196.46965	8100.55429	16555.18411	6057.46286	5772.63542	8544.37993	6990.54745	7859.24182	7680.12425	4694.18215	10365.22078	9719.28406	5111.21424
ko:K00004	325.84136	295.66868	537.94066	240.7409	246.98836	224.83297	189.75475	329.58393	317.06549	344.74873	486.96796	423.30044	509.57754	1032.92539	793.62041	884.66365	721.408	309.68472	280.13732	319.95184	501.17229	290.07607	209.78982	598.10755	305.37176	986.73906	189.7811	316.48095	740.33691	1284.32804	282.74129	272.10659	222.21976	329.01754	1303.49893	712.54364	415.867	527.41904	1291.93087	747.07662	327.15264	361.882	259.03526	216.47908	443.04393	496.7618	983.08457	242.15482	238.09921	345.45613	368.9492	491.34254	409.96276	159.74758	231.51708	137.67354	144.11638	298.54586	215.48099	283.99816	410.29164	311.70146	365.46187	209.37497	189.08209	469.89801	236.59716	557.81116	804.63742	409.12065	902.61279	231.09935	532.8878	339.73957	164.4898	594.74397	1350.92371	138.30353	554.69774	219.33568	234.30244	376.33603	833.93735	450.15812	1484.69039	595.05567	1267.91017	156.36098	400.47926	291.87417	303.4589	493.17511	553.22659	377.46392	320.53865	681.94883	511.64093	470.58956	499.51717	333.16195	156.49306	332.74539	372.16736	504.69658	398.75621	266.23179	746.52487	433.21408	757.40437	393.25672	519.34188	499.65149	1554.49703	121.27215	360.52268	467.06628	426.32534	278.31528	254.91099	614.63781	394.02103	788.40071	504.979	635.67339	566.45959	462.14187	450.16523	294.00777	465.46834	182.15288	591.46206	634.41961	311.93743	182.10895	457.95084	454.88467	564.30109	298.75956	600.34817	585.54585	383.59649	231.6205	384.9646	423.39634	646.44247	571.1752	783.38921	137.98536	131.74165	976.50467	1780.70509	319.3061	617.19996	175.8205	450.92802	495.07261	457.08506	679.72036	367.95315	365.92441	258.13436	626.53604	320.59142	408.52734	404.37756	375.3069	672.64538	203.6285	1282.95995	769.67955	1724.39919	3660.78877	254.6905	132.85583	165.54176	123.93858	1060.46216	941.96579	125.51055	1062.10529	730.34385	226.31222
ko:K00005	2197.64772	1530.80624	1973.70939	2731.04398	3092.98692	2940.34367	1747.95006	1967.72882	3269.90998	4535.99465	3057.67472	1675.37939	2745.40243	2191.9865	2497.88706	2458.35508	2175.6721	4502.86003	1323.70926	3245.59179	1375.18811	2701.81597	2204.41352	2872.64062	2564.62416	4727.24905	1861.93081	2964.69808	2522.59354	2178.60968	2888.12115	2538.88119	3299.86038	4488.5121	3895.43746	2431.25637	5216.85	5405.01427	4878.74623	5506.43106	2560.15011	2773.55038	6457.24533	5136.334	4589.74146	3172.24353	2616.01921	4937.26855	8335.96377	6227.85274	8979.83114	1935.08542	1609.76348	2680.03258	4044.16327	1502.11243	1723.98615	4770.80605	5346.70912	4505.10113	6037.21786	3164.56841	3668.61891	1759.15975	1049.7585	4401.83715	3229.94827	1647.42036	1591.01192	3969.55199	5452.00623	1808.26352	3459.92531	3796.50709	2167.29636	3020.92014	3877.95707	3175.64807	1836.7672	2595.54692	3120.79835	2358.74409	2695.53519	4539.57173	10386.66695	3385.93674	3580.16291	2397.93157	2735.55201	3464.31695	1603.47364	5424.38026	4526.48302	2017.57212	2792.64061	3088.97799	5120.55535	2462.16267	2242.30588	1598.13426	2473.5328	4291.84461	3392.86212	3904.71901	3141.52767	3509.40785	4307.49458	4884.14415	3034.03626	2262.49279	6157.76721	3181.58431	1553.20012	3912.57725	5145.35604	3055.6835	4886.90654	3402.18521	2761.68967	4197.45111	1546.11469	4300.82766	3475.82514	4203.53861	5552.97516	3246.99348	3150.10957	1637.70056	1980.39862	1834.03005	3481.95952	2798.40376	2683.84204	1873.62722	2772.46096	2763.66137	2959.5146	2447.4356	5391.12326	3084.72223	3766.27981	5406.05348	3022.63214	2911.07388	2714.12275	2508.75939	3367.74967	1957.25033	2654.39275	6168.36759	4987.49622	3668.89778	3434.79265	3023.39706	2361.34427	3063.31732	4483.34725	2638.98629	2731.4538	2235.54694	2825.28231	3610.90094	2256.34042	5074.38454	3710.05141	3124.34859	4128.08946	1561.20222	4033.73047	4680.88258	2538.97084	6064.51168	3167.06116	6514.85127	4181.57923	6222.11776	1821.24378	1693.71675	3431.69736	4731.43534	2826.15064	1873.07876
ko:K00006	NA	NA	NA	NA	NA	NA	0.75296	NA	12.82588	NA	NA	0.24628	3.466	0.66285	0.75683	NA	NA	NA	NA	NA	0.6213	NA	5.04809	NA	1.0785	NA	6.25551	23.77262	17.49428	47.99702	NA	NA	NA	0.46591	NA	NA	NA	NA	NA	1.87397	NA	0.8992	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.76142	13.79506	NA	4.83547	NA	NA	NA	2.75321	NA	15.41832	NA	NA	NA	2.04914	0.96224	NA	NA	NA	NA	NA	1.84482	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.49003	5.63683	0.91489	NA	3.69439	NA	7.28241	NA	NA	NA	NA	NA	1.72767	0.78497	NA	NA	NA	1.64477	NA	NA	4.69147	NA	NA	NA	NA	NA	NA	NA	9.75057	NA	NA	5.76746	NA	0.87583	1.31423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.58056	15.58849	1.53873	21.45315	17.30737	0.4017	1.48696	19.23681	14.9838	0.43775	NA	NA	3.26012	2.18221	2.00818	0.77487	NA	1.33206	2.94398	NA	NA	1.34682	NA	NA	2.02628	NA	NA	NA	0.36452	NA	4.90823	NA	NA	1.86148	NA	2.47841	1.28471	NA	NA	NA	NA	NA	NA	NA	0.6466	NA	NA	NA	2.42582	NA	2.59189
ko:K00007	NA	NA	NA	NA	NA	NA	NA	NA	2.4936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.14271	2.79291	NA	NA	NA	NA	NA	NA	NA	NA	0.97659	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.66093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.69536	4.15427	NA	NA	NA	NA	NA	NA	2.32516	NA	NA	NA	NA	NA	NA	NA	26.30634	NA	NA	NA	NA	NA	2.76971	NA	0.6878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.70305	4.25384	NA	0.75131	NA	NA	NA	NA	NA	NA	0.28102	4.29629	15.08534	3.30731	NA	NA	NA	NA	NA	NA	NA	78.75261	NA	NA	NA	0.54903	NA	0.99364	NA	1.02781	NA	NA	NA	NA	1.24593	NA	NA	NA	NA	NA	NA	NA	NA	24.63956	NA	NA	1.00401	NA
ko:K00008	2980.9575	2379.15748	3201.62451	3729.39632	4769.83142	5863.45575	2524.85316	3354.58664	3743.71232	3772.49306	4333.27825	2791.44936	3771.81514	3501.72432	2967.14199	3225.88546	3749.25557	4910.7986	2059.34233	4040.63786	2743.62481	3260.67864	2147.77945	4261.3352	2964.09359	5933.12284	2632.97434	3416.90389	3795.87416	2968.27977	4455.23462	3474.30154	2795.75604	3922.03328	6413.3287	4002.20824	4248.77191	4581.01452	5675.06832	6308.74315	3539.68396	3954.55414	8351.26359	5809.30903	4918.52948	4134.53571	3910.05036	6163.46544	10082.81193	7277.39011	11303.35985	3151.06073	2398.78455	3951.77091	3842.75596	2795.34557	2643.83552	7027.25339	9010.22517	5847.65242	6920.99675	3156.75112	3528.92029	7989.09025	5895.47952	6301.12131	8864.50687	2558.43625	1496.92615	6282.39583	7152.39447	4905.68224	5240.55376	4481.83153	3075.8975	3740.02215	4485.76347	3338.63224	2285.36018	2780.13182	3463.22848	4390.71391	4273.27688	3798.4352	9485.84155	2765.56675	5102.13637	3514.27916	2434.72441	2225.19157	2161.0636	2861.81273	3228.78025	3165.48361	4048.24125	3744.71259	4452.76003	3306.63413	4715.87777	3392.98064	3974.15551	4533.21477	3816.41635	3774.29153	4981.6392	5082.00126	7728.26304	7394.21725	4902.78784	5542.62507	6919.49478	3919.86912	2527.83441	5866.49944	7549.67773	3319.85022	4573.50912	4039.51698	4086.60698	5789.90632	3069.18376	5079.67752	4291.73409	3701.41739	5797.9575	3836.3301	4598.4115	1832.11647	2539.73138	3346.128	4072.16584	2847.74033	3394.00169	2521.03251	3299.7105	3250.23346	4493.59359	3099.89339	4723.07602	3885.49543	5643.31038	8457.64787	5153.98887	4179.95434	3880.06155	3486.90893	4282.98018	3631.98059	5016.94177	7444.26024	7101.40932	5220.45177	4348.12854	4007.31595	3280.79199	4155.4562	5241.60892	3681.80348	3030.85253	4831.09744	5742.38859	4230.34868	2110.13879	5047.00985	5697.61935	3629.91066	6618.71421	4357.49412	5068.13427	4863.97414	4453.43247	6931.57114	2766.54601	2020.32396	5149.34627	2541.89426	2723.39467	2611.17937	2914.29083	4721.14043	3434.53905	6857.87366
ko:K00009	2748.29437	2127.56989	2670.28725	2142.1341	3040.35402	11842.28771	2854.44062	2416.98343	3304.87556	5285.41881	4364.5677	1967.19748	5816.33364	2209.96448	2412.53064	2140.15799	2833.92976	1316.60042	2475.75603	3990.93372	3333.18167	2401.89825	2042.71648	3899.19203	3724.21298	4897.10198	1823.86131	4196.05156	6353.24255	4256.19224	5440.42079	6414.10434	6421.78707	6844.43692	5861.58645	3824.63631	5199.64159	7012.49565	4115.82652	3558.76594	3107.25867	3295.65406	5348.92357	3213.04133	3163.5894	2111.66793	2108.48396	3143.25568	11097.94451	3069.50359	12992.93945	4437.40595	3993.80649	5859.97446	4956.17408	2538.96097	2135.69445	1902.17538	1653.33784	4178.88956	4626.86644	1512.50059	1651.91299	5965.818	4776.81997	1905.32889	5780.02325	893.30833	850.18343	2437.88049	3220.56907	2984.97398	5923.419	4358.51277	4611.17546	3671.98482	3897.46087	2067.47203	2387.5319	4277.90762	3550.12864	2364.05304	2597.85339	2099.39044	3960.02761	2148.65708	2610.4064	1513.31029	1788.42892	1169.62717	1629.92994	1716.58854	2438.06117	1997.84718	2049.20177	2832.71904	3356.52166	3462.04445	3229.57188	2234.12302	8242.71401	8409.56286	4796.4868	4811.26835	2959.75164	3700.714	3914.49271	4542.08624	2852.1576	8785.45179	2219.34586	2428.3237	3379.61537	5910.07571	6728.89128	1658.73197	2496.43443	4463.68908	3857.51581	6548.77932	1972.73469	3247.13753	3411.16255	2634.29247	3171.28026	2002.63158	3004.40085	1847.27104	1730.90801	5094.81807	1506.49768	1466.46359	8174.52359	8552.83897	4562.52265	4383.0498	4136.50621	2787.216	2379.84576	1904.28592	4199.75401	5125.78868	3090.20451	2724.98734	2863.62915	2343.00099	2098.20297	6175.04917	9208.68121	11232.85584	6829.38745	3064.55569	6551.19269	2328.90348	2753.68567	2742.02918	1956.0254	4338.75854	1182.59104	11890.56993	16727.87942	4130.45983	3196.91927	2744.19097	3003.64428	1473.03931	7203.08958	7704.85006	3100.50187	3420.50424	3235.47961	8653.24358	6572.66135	4790.4412	2966.56579	7574.0208	2252.3162	1964.87238	6503.65825	2693.45526	2783.52155	6107.48086
