feature	SRR5866258	SRR5866262	SRR5866263	SRR5866264	SRR5866265	SRR5866266	SRR5866267	SRR5866270	SRR5866271	SRR5866272	SRR5866273	SRR5866274	SRR5866275	SRR5866276	SRR5866277	SRR5866278	SRR5866279	SRR5866280	SRR5866281	SRR5866282	SRR5866283	SRR5866284	SRR5866285	SRR5866286	SRR5866287	SRR5866288	SRR5866289	SRR5866290	SRR5866291	SRR5866292	SRR5866293	SRR5866294	SRR5866295	SRR5866296	SRR5866297	SRR5866298	SRR5866299	SRR5866300	SRR5866301	SRR5866302	SRR5866303	SRR5866304	SRR5866305	SRR5866306	SRR5866307	SRR5866308	SRR5866309	SRR5866310	SRR5866311	SRR5866312	SRR5866313	SRR5866314	SRR5866317	SRR5866318	SRR5866343	SRR5866344	SRR5866345	SRR5866346	SRR5866347	SRR5866348	SRR5866349	SRR5866350	SRR5866351	SRR5866352	SRR5866353	SRR5866354	SRR5866355	SRR5866356	SRR5866357	SRR5866358	SRR5866359	SRR5866360	SRR5866361	SRR5866362	SRR5866363	SRR5866364	SRR5866365	SRR5866366	SRR5866367	SRR5866368	SRR5866369	SRR5866370	SRR5866371	SRR5866372	SRR5866409	SRR5866410	SRR5866411	SRR5866412	SRR5866413	SRR5866414	SRR5866415	SRR5866416	SRR5866417	SRR5866418	SRR5866419	SRR5866420	SRR5866421	SRR5866422	SRR5866423	SRR5866424	SRR5866425	SRR5866426	SRR5866427	SRR5866428	SRR5866429	SRR5866430	SRR5866432	SRR5866433	SRR5866439	SRR5866440	SRR5866443	SRR5866448	SRR5866459	SRR5866460	SRR5866462	SRR5866463	SRR5866464	SRR5866465	SRR5866466	SRR5866467	SRR5866468	SRR5866489	SRR5866490	SRR5866491	SRR5866492	SRR5866493	SRR5866494	SRR5866495	SRR5866496	SRR5866497	SRR5866498	SRR5866499	SRR5866500	SRR5866501	SRR5866502	SRR5866503	SRR5866504	SRR5866505	SRR5866506	SRR5866507	SRR5866508	SRR5866509	SRR5866512	SRR5866514	SRR5866515	SRR5866517	SRR5866518	SRR5866519	SRR5866520	SRR5866531	SRR5866532	SRR5866533	SRR5866534	SRR5866535	SRR5866536	SRR5866537	SRR5866541	SRR5866542	SRR5866543	SRR5866544	SRR5866545	SRR5866546	SRR5866547	SRR5866548	SRR5866558	SRR5866559	SRR5866560	SRR5866561	SRR5866562	SRR5866563	SRR5866566	SRR5866567	SRR5866570	SRR5866571	SRR5866591	SRR5866592	SRR5866593	SRR5866594	SRR5866595	SRR5866596	SRR5866597	SRR5866598	SRR5866599	SRR5866600
total_reads	21754104.0	16966018.0	21608560.0	27316430.0	31532228.0	34945604.0	15864082.0	29432920.0	33468744.0	34092996.0	40361263.0	25606726.0	52545124.0	25996940.0	24896742.0	26203516.0	30115687.0	23844553.0	16470814.0	29198094.0	20195570.0	31388602.0	23112511.0	29339208.0	33784746.0	38792336.0	23220909.0	42219839.0	38661046.0	31561379.0	24095503.0	30869568.0	33019087.0	36650181.0	42944402.0	27486141.0	33775693.0	44360130.0	34655545.0	36717747.0	27911674.0	32507555.0	53777273.0	31574220.0	33896834.0	28494764.0	27115594.0	30965529.0	65109675.0	33789254.0	100686635.0	67639291.0	25437715.0	22633708.0	37510937.0	32082326.0	21054427.0	19595839.0	41008095.0	34192481.0	30151218.0	34757192.0	26676802.0	30261984.0	36879986.0	28355670.0	28915946.0	38704135.0	21533855.0	22925173.0	26637340.0	41203495.0	27727425.0	34074509.0	31930444.0	26905449.0	23614519.0	31085179.0	26762432.0	24123383.0	27035197.0	26907634.0	35221934.0	28440134.0	30410476.0	71323013.0	32039704.0	35220874.0	19953312.0	28078572.0	24209691.0	22249878.0	30070939.0	44793188.0	27190030.0	28856078.0	34002444.0	42619795.0	43595697.0	29803647.0	31735372.0	26719323.0	30335188.0	34092456.0	28034874.0	27914128.0	33308971.0	27234538.0	38323853.0	41065999.0	28201260.0	35051680.0	36603740.0	36869279.0	25503039.0	34298985.0	47073529.0	24857719.0	30607764.0	27750912.0	25259630.0	41847809.0	23798817.0	30176982.0	27567647.0	30485463.0	43285171.0	28262768.0	29654960.0	20963585.0	26598242.0	23206171.0	26700979.0	25463521.0	32182066.0	24300681.0	29961930.0	28316761.0	34640683.0	31891646.0	36276505.0	28032703.0	34942626.0	44869362.0	30845409.0	37469724.0	32085012.0	32501799.0	27873398.0	30830064.0	29160782.0	82073352.0	57669243.0	39120299.0	49011251.0	31391854.0	26377237.0	25803179.0	35602613.0	29171845.0	25162180.0	35551779.0	40632581.0	34320967.0	27503843.0	43959204.0	42150052.0	23462526.0	35872541.0	29383375.0	29054376.0	29816551.0	29118681.0	68295198.0	27900091.0	23653778.0	31320205.0	32128623.0	26522794.0	22979201.0	24517154.0	33585279.0	31775936.0	35550178.0
filtered_reads	21841179.0	17289690.0	21743359.0	27784374.0	32037591.0	35277513.0	16187822.0	30126558.0	33724740.0	34288816.0	40807068.0	26007844.0	53425389.0	26146246.0	25117301.0	26508318.0	30386608.0	23959561.0	16582328.0	29432161.0	20375041.0	32134105.0	23391474.0	29534805.0	34191140.0	39113580.0	23577744.0	42738729.0	39070456.0	31913488.0	24279639.0	31107103.0	33342135.0	37049497.0	43415014.0	27821420.0	34081539.0	44797407.0	35049906.0	37222107.0	28140326.0	32872597.0	54856904.0	31856733.0	34210562.0	28730376.0	27314124.0	31149610.0	65384380.0	33899342.0	101290399.0	68072613.0	25644379.0	22816792.0	37798542.0	32530869.0	21274847.0	19845945.0	42987295.0	34448139.0	30396403.0	34991722.0	27236098.0	30853102.0	37255736.0	28659503.0	29737433.0	39135174.0	23519314.0	23931485.0	27057569.0	42278811.0	28454535.0	34704396.0	32234565.0	27078149.0	23749649.0	31362317.0	27250158.0	24754465.0	27447349.0	27191782.0	35660578.0	28694656.0	30734243.0	71841955.0	32502687.0	35695620.0	20134881.0	28524321.0	24586775.0	22634255.0	30566273.0	45014592.0	27830755.0	29877507.0	34516476.0	43759251.0	44621363.0	30335956.0	32102666.0	27259537.0	30833711.0	34526465.0	28451381.0	28136346.0	34490861.0	27327014.0	38776594.0	41543232.0	28504841.0	35550442.0	37861510.0	38547598.0	25723803.0	34480505.0	47382087.0	25430933.0	31342719.0	27929417.0	25371637.0	42325101.0	24158596.0	30692093.0	28005559.0	31315635.0	43949287.0	28800226.0	30031650.0	21228558.0	26858238.0	23492444.0	27212141.0	26021501.0	33020915.0	24573250.0	30525817.0	28861412.0	35626931.0	33107061.0	37119774.0	28611441.0	35304485.0	45153555.0	31083479.0	37640110.0	32267944.0	32821941.0	28714369.0	31300359.0	29578090.0	82408819.0	57726266.0	39162345.0	49131855.0	31921675.0	27751790.0	27085473.0	37132238.0	30200207.0	25953147.0	36338272.0	40930434.0	34944438.0	27795056.0	44635493.0	42575985.0	23625562.0	36197157.0	29716712.0	29451695.0	30184861.0	29601990.0	69316883.0	28221381.0	23968959.0	31790998.0	32550928.0	26798046.0	23206529.0	24762434.0	34072338.0	32062623.0	35924802.0
category	59310.61496	54435.1742	64398.17297	50020.07212	52725.53761	64417.16949	49800.54648	47423.17954	44636.55917	70740.00152	50410.96512	47778.54992	49332.89149	53302.24813	49237.8177	51494.19252	56138.69652	47692.63497	60145.18729	63081.49968	64200.46942	47860.46792	56360.0149	53628.58093	61121.47534	49278.89233	49356.69629	54046.66426	45477.97329	42636.03429	57260.36756	59118.88045	66762.91705	63183.48911	59135.1714	59582.39816	67190.76666	65846.36181	58333.78646	53613.29742	55963.52176	56048.99502	56310.18228	55360.00733	52979.56921	41663.18439	41226.75637	55473.08739	72245.76327	61707.99156	70309.34479	70318.86835	45205.98275	46057.30958	71307.36421	62525.43118	59225.75459	49326.14124	46244.12584	52268.05751	61248.0374	55671.46022	47504.90852	47469.35499	58922.56936	57495.01724	48094.68929	58160.73774	41416.01618	50090.85891	50525.17852	47434.09953	57859.06219	57739.17574	52595.94788	59543.04784	47725.49318	49718.36724	53541.00095	46477.20668	51313.50035	54976.10278	51369.43872	54043.92964	48844.74057	43903.58155	47413.65609	40043.34673	57476.84615	38821.93639	39060.59206	40502.79963	40172.40207	39321.62128	36448.30577	38373.51346	47231.16592	43270.76884	41549.15194	50044.67227	45632.82878	44557.17771	52900.80877	56015.71361	49896.34951	48567.97867	46811.02258	58629.16341	42564.1128	58373.15098	59983.59233	70304.0149	46750.94348	41705.77852	62907.45838	63404.00112	60546.97174	48777.86428	50881.46533	68574.79005	62237.42625	53673.94188	48248.57647	45746.22208	43297.79186	37415.0205	45481.77699	44972.93364	43424.46376	52262.60539	41792.72592	66246.01025	43667.2819	36807.61398	59453.98653	67767.47695	53874.33572	54313.58229	47700.4419	46592.2489	43641.37371	43183.79362	48404.43237	59550.78054	60089.91927	48244.28681	43312.92237	40730.48943	47826.57744	52385.04167	60134.82529	67330.66564	56201.29928	56077.49511	65816.07131	47272.09837	39074.66589	41500.62939	38499.64029	39704.73504	36837.0076	55262.42561	62026.28316	43716.2277	56241.72738	46002.1952	53112.53149	47141.79446	58524.72877	72484.81074	53685.16182	56960.59495	61011.74795	64077.48864	65720.47687	63776.49383	60143.61619	67084.01653	44102.09354	46062.91221	68681.97558	51244.70094	50327.96665	60877.39745
AA1	6.75962	11.3246	6.8359	1.42503	0.35033	1.18075	1.58316	1.34494	19.5344	29.66538	1.6551	5.10996	1.62546	1.98072	2.84378	5.77905	2.55507	5.06191	1.91569	14.87966	36.02206	2.36492	2.30421	27.11839	1.60633	31.24339	3.73556	3.75508	0.17618	0.15661	1.73571	3.72425	2.19141	2.53621	64.87108	58.60157	2.48449	5.112	2.18671	1.88508	5.09721	1.37369	2.06804	5.20371	0.92394	3.36171	3.11142	5.08885	2.1007	0.77576	2.74854	17.96699	0.07942	0.21468	0.54717	1.94465	7.10461	11.6391	4.45164	10.90415	4.00989	2.88589	8.74506	9.35572	10.12538	1.21419	14.68682	4.86765	0.60633	21.09638	7.83212	15.63507	2.02501	11.42919	5.06719	0.93377	6.72111	3.4129	1.3581	1.06058	24.69527	6.86962	0.43198	2.46039	17.00783	16.06173	2.23271	2.18984	3.33245	4.54447	5.49611	22.01435	22.46655	18.37942	2.18784	2.40759	2.3252	2.69249	15.29651	2.21292	4.80499	7.41921	0.76748	7.80872	0.60102	2.22124	1.53636	12.38519	22.04551	2.22463	3.72215	1.91929	3.05436	24.75067	1.70994	1.93294	5.66613	3.9555	0.83182	18.3022	14.11849	5.14901	2.67055	3.79167	2.06739	24.16925	1.94485	9.52917	2.10834	4.51075	11.12577	4.40351	2.07614	4.33811	5.40165	4.10881	20.92559	20.31445	2.13903	1.92533	0.18718	6.14203	5.33104	1.04626	0.95382	5.12822	3.01011	4.17253	9.90249	1.38475	1.29927	7.17806	22.62307	18.58313	4.77599	2.19869	3.6285	19.99029	8.17425	8.47393	3.16454	0.33307	3.23561	1.237	31.6909	21.2485	5.38168	34.0392	2.92714	1.70636	0.41213	1.03906	0.34821	0.36504	0.42584	1.84268	4.28375	0.0281	16.90119	15.00061	0.88343	25.68472	4.43956	3.47313
AA10	0.19254	NA	0.66391	0.09447	NA	NA	NA	NA	0.03891	0.03827	NA	NA	0.44841	0.13702	0.24292	1.53725	NA	0.14952	0.25243	0.4218	0.62705	NA	NA	0.3644	NA	0.16776	0.05566	0.14056	NA	0.18744	NA	NA	0.1968	0.10626	NA	NA	1.45007	0.32224	0.07488	0.07051	NA	NA	0.01707	NA	0.03836	0.09136	0.67264	1.13681	0.2523	0.03871	0.03887	0.03654	0.07783	NA	0.10416	0.12102	NA	0.14858	0.47347	0.99817	0.1727	0.18752	0.71144	0.30031	0.05142	NA	0.23368	0.13259	0.12781	3.16299	NA	NA	NA	0.12414	0.12119	NA	0.05526	0.16738	NA	NA	0.20306	0.28957	0.0368	NA	0.20196	0.20341	0.08288	0.57994	NA	NA	0.13758	NA	0.04293	0.10874	NA	NA	1.19765	0.17994	0.02941	0.08652	0.32236	NA	NA	NA	NA	NA	0.06682	0.09605	0.21951	NA	0.0336	0.03691	0.10398	0.06809	NA	0.3806	0.42913	0.15481	0.14597	0.72671	0.15734	NA	NA	0.08665	NA	0.20953	0.17916	0.18227	NA	0.06182	2.70038	0.11467	0.06013	1.40799	0.0627	0.3362	0.11989	0.12637	0.11051	0.23993	0.03535	1.25996	0.18653	0.04243	0.06163	0.0509	0.10004	0.05837	0.0457	0.11874	0.23377	0.10287	0.19437	0.1515	0.237	0.09346	NA	0.34503	0.17305	NA	0.25283	NA	0.18466	0.03755	0.14164	NA	0.11497	NA	0.3165	NA	0.04456	0.04348	NA	0.02764	0.0465	0.05475	0.61588	NA	0.09794	0.3393	NA	0.29037	0.08186	0.08837
AA1_2	NA	NA	NA	NA	NA	NA	NA	NA	0.04845	NA	NA	NA	0.03058	0.06249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09339	NA	NA	NA	NA	NA	NA	NA	NA	0.06039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06279	NA	NA	NA	NA	NA	0.02468	NA	NA	NA	NA	NA	NA	NA	0.04978	0.0569	NA	NA	0.01983	NA	0.04172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA2	NA	NA	NA	NA	NA	NA	NA	NA	0.03209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06492	NA	NA	NA	NA	NA	NA	0.05815	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03193	NA	0.0318	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03297	0.03769	NA	NA	NA	NA	0.05527	NA	NA	NA	NA	0.05829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03404	NA	NA	NA	NA	NA	NA	NA
AA3	2.0984	2.01372	5.51838	0.58082	1.61811	0.14157	0.22778	1.31055	0.82702	1.07952	0.94854	0.97956	0.88415	0.81466	0.54946	0.61554	0.61369	0.76949	2.32693	2.84921	16.39551	0.91854	0.964	4.33618	1.12879	9.24188	0.58423	1.54195	0.61837	0.23824	0.91121	0.50219	5.31203	5.41624	31.05578	31.05513	1.5001	5.89507	0.74655	1.18337	5.72274	3.85647	0.41429	0.82717	0.22073	0.67601	0.17523	0.29866	3.8617	1.79682	2.94924	9.40744	0.49272	0.49458	1.04837	2.08756	2.22041	0.55096	0.54494	1.67677	1.11196	0.38093	2.5658	2.77088	2.16866	0.41918	0.49632	0.1475	0.28896	7.63129	0.77661	0.23189	1.33978	4.09727	1.9485	0.86878	0.70672	1.49872	1.29937	1.17908	0.57206	0.35024	0.22878	1.0753	4.48696	2.79137	1.71596	1.27582	0.55113	0.79947	0.38992	0.82732	4.121	1.66387	1.60939	0.52296	0.4568	0.38532	2.02272	0.90363	0.94288	1.51947	0.3232	0.25528	0.72181	0.38739	1.34713	0.91481	0.31628	0.88479	1.16627	0.83784	0.44666	2.38486	4.64242	3.01305	3.99852	1.5323	0.63728	10.22819	7.75825	1.08954	0.60861	1.28347	2.36729	2.85428	1.23127	0.18698	1.49384	0.87844	2.6083	1.58804	0.43425	0.25574	2.2826	2.56783	2.71643	3.17344	1.65145	1.14496	0.93759	0.29252	0.62215	0.68462	0.69036	0.89856	0.8118	1.53337	1.01512	0.24433	0.32468	2.77695	1.19347	0.31592	2.23503	1.31848	0.97535	6.75944	1.6042	1.57648	NA	0.29774	0.1614	0.15075	7.78805	1.21855	2.8238	0.3684	0.78385	0.80183	0.89969	0.46874	3.99881	3.74624	0.15942	0.3958	1.40457	0.07212	4.79033	2.03487	0.124	0.57582	1.23423	1.19967
AA3_2	0.10348	0.46016	1.31648	NA	0.01967	0.00877	NA	0.13269	0.04832	NA	0.02155	0.08454	0.04939	0.09872	0.0426	NA	0.04342	0.07342	0.02652	1.245	5.57892	NA	NA	0.3428	NA	2.77673	0.02599	NA	0.07879	NA	NA	0.01015	0.01944	0.0376	11.49448	10.63256	0.01077	0.8169	0.07386	0.18265	0.78878	0.25713	0.13326	0.28591	0.02571	0.06122	NA	0.11236	0.24832	0.09592	0.00193	2.54758	0.01715	0.01927	0.01163	0.01352	NA	0.02303	0.32727	1.09963	NA	NA	1.27377	1.29571	0.76481	0.02199	0.00584	NA	0.11161	3.60162	0.2792	0.02981	0.07478	1.01797	0.3853	0.0305	0.05539	0.51594	0.06372	0.0862	0.03071	0.20857	0.02466	0.03065	2.0493	1.22052	0.01353	0.07392	NA	0.19261	0.03196	0.43433	1.82492	0.67114	0.1168	0.17409	0.25515	0.10688	0.24486	0.06942	0.18263	0.06453	0.15104	0.08367	0.09787	0.08547	0.0305	0.00658	0.04221	0.01663	NA	0.22893	0.01161	1.01663	0.05129	0.17258	1.06409	0.40025	0.06135	3.28999	2.47114	0.01475	NA	NA	NA	0.97685	0.08499	0.0082	0.20241	0.02072	0.09824	0.3185	0.03232	0.0845	0.6885	0.68788	0.8355	0.79718	0.09167	0.05313	0.04315	NA	0.01487	NA	NA	0.11722	0.31808	0.15142	0.61256	0.07341	0.09664	0.00606	0.00338	0.00643	NA	0.15102	0.38857	3.91135	0.74862	0.64285	NA	NA	0.04681	0.04152	2.3812	0.41389	0.68661	0.01655	0.26112	0.16586	0.00783	0.07068	0.03468	0.02072	0.04675	NA	0.56229	NA	1.22469	0.70751	0.0151	0.09981	0.62285	0.43732
AA4	6.10526	18.81966	9.61722	14.30988	10.15718	11.75146	10.39002	35.26136	37.01276	25.92876	8.26389	9.22848	18.025	10.14044	19.58293	13.69615	13.11092	17.76831	7.24338	10.6887	6.71083	16.34962	11.0797	37.22569	10.26579	25.49295	14.16206	15.24148	91.36174	124.73007	15.40121	12.57385	6.83588	8.30542	8.03422	8.03782	10.6771	13.82223	11.78065	13.10607	16.1114	18.94679	12.72794	12.84116	13.41324	23.50533	15.70355	13.20193	5.53125	7.26807	5.64885	4.90616	86.53781	63.73717	12.39621	13.36093	21.39827	26.86275	10.54684	9.7638	9.08113	8.47541	7.35665	8.46431	9.43983	9.39061	15.65092	12.65996	9.29759	10.35807	14.39389	15.90668	10.82172	12.10083	13.15182	14.0664	15.98352	12.77744	11.77963	17.31552	11.56032	11.88027	34.78134	21.0893	106.73756	89.69642	14.50879	23.62757	13.29809	33.55227	127.82688	42.67062	29.01389	104.71478	41.36677	28.20963	66.56288	23.02255	36.5439	25.6127	35.67018	28.30078	178.16	85.73403	113.13422	97.60921	10.56724	4.45382	42.65117	10.90423	11.94335	43.5223	119.25634	29.07859	27.4753	7.84202	14.86759	47.82919	99.24083	10.53311	10.79628	16.88574	18.27151	13.16472	16.61443	38.66322	21.1102	30.55851	31.1725	18.64384	21.45394	64.59575	13.57201	16.70956	72.0062	57.69487	68.78387	68.11271	25.44508	33.71911	15.53178	23.06848	35.28958	18.31744	9.92248	18.09684	26.62583	23.88173	14.40721	15.40943	15.99971	8.61443	20.13812	13.48419	7.20061	33.30163	42.15187	8.47723	20.52043	54.36036	54.23953	36.77074	43.34322	67.81682	69.29759	57.29276	45.01774	38.50597	26.36711	57.08121	14.26427	9.73656	11.12783	15.60183	23.5845	70.4469	19.76511	55.96229	34.35262	41.62198	30.85549	32.04763	26.21202	7.97939
AA6	18.64983	21.13066	72.0482	11.37229	8.58956	4.52023	14.79763	13.89559	27.43883	11.07206	16.21672	12.49046	13.8878	12.26032	19.45715	20.13609	19.38688	20.36976	21.94448	23.30853	78.38157	6.75753	10.90893	61.90005	17.82402	71.20443	8.83925	11.24896	8.60545	5.9054	18.45597	14.43732	10.96916	10.9694	40.15273	35.46743	17.90655	18.71669	16.94926	45.60263	11.58428	8.62254	14.01013	19.61044	21.12697	10.33413	17.03685	12.67979	20.13915	17.11239	10.35547	28.54102	4.75273	5.81145	12.57361	15.85366	35.11064	45.83884	33.74428	37.99684	21.2598	19.97156	50.35778	50.28572	10.98778	6.49676	14.46454	10.24393	75.953	120.8819	22.45219	44.47132	17.72415	27.59225	16.22937	13.14244	15.47141	16.48332	7.344	17.69701	13.87427	18.32266	11.21978	12.16583	23.16618	17.80551	9.9197	11.03053	9.07589	14.06045	24.71585	19.78421	22.53359	10.26519	15.82849	14.30075	23.48893	18.14875	20.05318	15.04549	15.60911	11.58528	24.20276	19.35544	21.54539	30.67587	11.16423	16.40017	29.83555	19.23772	28.61069	10.58377	19.03135	21.73945	10.4898	17.84341	23.3039	21.19227	12.56936	42.53108	38.29066	23.93979	28.33011	19.73694	20.1363	34.03642	18.64846	33.75175	22.70575	14.67243	17.64617	13.80247	11.78689	9.78836	11.35764	8.53482	17.01457	17.47896	18.5551	18.15482	8.81005	9.95826	52.44222	31.44097	29.12395	14.77133	20.81363	23.64926	16.20594	11.05378	2.83788	37.02556	24.18468	37.38444	39.39017	15.2276	29.84438	37.75223	44.05415	28.20272	26.54302	16.64297	19.39145	27.41079	32.40373	23.87485	30.44192	45.67542	19.75067	10.12276	23.70439	23.90924	16.93241	23.9462	9.33641	8.52191	44.41338	7.22625	17.4398	18.1621	7.60818	21.98175	14.10134	5.89869
AA7	25.24597	24.74476	30.27019	24.83226	22.30089	18.93462	23.2194	31.40676	38.53887	30.0141	27.08023	23.34194	40.19798	80.0578	97.17117	61.59475	53.79453	56.17811	19.71547	28.31415	24.51003	25.95904	44.18492	63.50416	35.47464	57.28101	26.74989	49.65574	58.15611	74.46526	65.74665	32.02477	39.95558	46.01357	20.33865	22.94204	28.38275	38.78633	52.06564	43.77301	19.58421	50.20702	21.11178	42.14998	33.05251	38.04601	35.74515	49.70586	11.52951	25.68442	15.76111	12.7175	30.04163	41.8061	33.8667	38.82287	28.59855	56.20576	45.86075	48.63602	37.70533	41.38382	28.52926	33.27526	13.57849	15.79567	26.54427	17.75762	30.0771	21.55205	39.87147	29.85397	24.0858	40.15479	39.95302	24.29268	63.09897	57.9912	28.74044	30.8935	28.39203	31.00559	63.82964	28.06151	117.36224	107.74026	41.67424	48.57539	19.05402	73.47209	148.34549	55.03087	69.31338	138.61814	59.71158	71.12328	82.47357	55.86083	68.6823	51.96205	68.12708	63.91819	65.41345	60.97247	86.51026	64.26901	57.47668	38.69376	130.50098	39.65645	26.21071	36.57604	115.36096	42.55059	22.00506	48.73427	50.74328	88.30952	102.57337	37.3348	47.63631	62.75401	50.02451	57.42859	84.64892	93.94083	42.56264	37.47865	31.56911	49.62656	62.80526	39.59198	59.28905	67.71109	47.7386	33.66549	51.70928	48.60776	77.81012	84.72647	50.50885	71.63731	94.1941	52.11868	38.42689	43.18025	56.39268	59.13922	23.70787	30.27078	18.36377	19.97574	24.34098	17.45222	20.3723	41.34141	65.76594	30.63289	27.48645	47.59765	29.08683	16.08622	14.18325	29.76238	50.38403	55.97293	40.09303	63.79974	42.94604	39.08789	69.98106	57.75989	23.65672	23.80828	13.72397	9.85199	21.6659	12.04792	100.28933	125.72208	29.32764	94.19767	55.58057	10.00625
AA8	NA	2.2045	7.67974	NA	NA	NA	NA	0.372	0.05617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.85378	22.74091	NA	NA	2.27383	NA	14.23587	NA	NA	NA	NA	NA	NA	NA	0.49104	54.59042	41.97211	NA	3.28093	0.13496	0.59507	3.6082	0.80969	0.23644	1.7433	NA	NA	NA	0.32427	0.41152	NA	NA	10.61943	NA	NA	NA	NA	NA	NA	1.97866	5.55318	NA	NA	8.6417	6.30458	3.74437	NA	0.34581	NA	0.48316	11.06464	1.09493	NA	0.06658	3.06517	1.8319	0.26389	NA	2.22709	0.2019	0.85553	0.35719	NA	NA	NA	9.32155	5.80826	NA	NA	NA	1.15842	0.53453	3.20539	16.40316	2.72447	0.27221	2.15047	NA	NA	0.2466	NA	1.31651	NA	0.90089	0.28141	0.09398	NA	NA	NA	0.10657	NA	NA	2.70004	NA	2.89262	NA	0.35585	1.88975	1.44484	0.11078	9.56926	7.6886	NA	NA	NA	NA	2.94287	0.5452	0.2168	0.73597	NA	NA	2.20422	NA	NA	1.86174	2.26472	1.84744	2.41043	NA	NA	NA	NA	NA	NA	NA	0.53386	1.16997	NA	1.52017	0.14013	NA	NA	NA	NA	NA	0.98288	0.39651	20.66028	4.45411	5.35949	NA	NA	NA	NA	8.64787	1.40964	2.97003	0.18042	1.93305	1.54513	NA	0.71111	NA	0.53857	NA	NA	1.75008	NA	4.29077	2.39427	0.12787	0.31699	1.59677	2.50492
CBM10	0.89775	NA	0.90179	0.35286	NA	0.27791	NA	0.97627	0.87211	4.86067	0.961	2.63872	NA	5.24951	5.85488	9.49264	1.6132	2.45512	NA	0.6662	3.36821	NA	NA	2.65556	NA	1.25326	NA	NA	5.52044	0.61441	1.21138	0.9455	NA	NA	0.22582	0.4279	NA	NA	NA	NA	0.69679	NA	0.17872	0.30775	NA	NA	NA	NA	NA	NA	NA	NA	2.29382	2.57808	NA	2.12077	0.92164	1.61008	NA	NA	NA	2.80178	NA	NA	0.5263	0.68417	2.00165	0.50103	NA	NA	13.23196	0.84473	NA	NA	0.30414	0.36206	2.06401	1.13463	0.71955	NA	1.78595	2.24054	0.54985	NA	0.95697	0.81879	2.41307	3.84515	1.46074	0.3437	NA	NA	0.64149	NA	2.81815	1.31255	1.13614	0.44808	1.75771	1.29271	2.44314	2.15791	NA	0.82031	1.03376	1.39377	NA	0.22589	3.82992	0.70798	1.37576	1.28038	1.55365	1.526	0.76225	NA	NA	2.69858	3.12797	NA	NA	NA	3.72749	0.31943	NA	1.56534	2.00766	3.0637	14.03748	0.46183	1.4601	NA	6.84527	NA	0.2969	2.3938	0.64234	NA	3.02701	2.07289	4.75409	2.74126	1.66618	0.21712	NA	1.56279	0.60766	NA	0.68286	0.31322	NA	0.23793	2.37769	2.25306	NA	0.61425	0.35327	1.08589	1.32014	NA	1.88877	1.61878	0.23953	2.52502	0.42831	0.21964	NA	0.82994	3.30821	0.32991	NA	NA	1.65596	1.27293	0.34739	NA	NA	0.90356	1.46338	7.18189	NA	3.16512	NA	NA
