run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
ERR1999767	ERP019513	SAMEA104112438	ERS1776331	ERX2059636	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	21299272	1689324745	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-1	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-1	1087020012	b54c6f7ae8201ea619e286efe2dc50bf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1999767/ERR1999767.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/007/ERR1999767/ERR1999767.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1999767/ERR1999767.fastq.gz	997343775	6cca24adf535c54f228ec077c19e9949	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999767/Subj1_Week1_White_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999767/Subj1_Week1_White_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999767/Subj1_Week1_White_End.fastq.gz	FASTQ	727239932	1a8288b206a8dd6dacd325a99f7bb650	ftp.sra.ebi.ac.uk/vol1/err/ERR199/007/ERR1999767	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/007/ERR1999767	ftp.sra.ebi.ac.uk/vol1/err/ERR199/007/ERR1999767	Subj1_Week1_White_End		Bread project WGS samples		2017-06-03			
ERR1999768	ERP019513	SAMEA104112439	ERS1776332	ERX2059637	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	20641097	1636679400	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-2	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-2	1053032029	5f97af5886118d36d484553e272ea125	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1999768/ERR1999768.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/008/ERR1999768/ERR1999768.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1999768/ERR1999768.fastq.gz	966310982	b394f79a0037e2b199904250e0019968	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999768/Subj1_Week1_White_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999768/Subj1_Week1_White_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999768/Subj1_Week1_White_Start.fastq.gz	FASTQ	704590422	bef4d6835213a708dcec6667d77040d2	ftp.sra.ebi.ac.uk/vol1/err/ERR199/008/ERR1999768	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/008/ERR1999768	ftp.sra.ebi.ac.uk/vol1/err/ERR199/008/ERR1999768	Subj1_Week1_White_Start		Bread project WGS samples		2017-06-03			
ERR1999773	ERP019513	SAMEA104112444	ERS1776337	ERX2059642	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	11988277	949971386	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-7	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-7	627627403	0f7c06dfbe0079df6699f36934950219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/003/ERR1999773/ERR1999773.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/003/ERR1999773/ERR1999773.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/003/ERR1999773/ERR1999773.fastq.gz	577001483	d2f0e65bd750e3ea225d644c8d1242dc	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999773/Subj2_Week2_White_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999773/Subj2_Week2_White_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999773/Subj2_Week2_White_End.fastq.gz	FASTQ	420269582	22d14a05f213eb170ace65286b92954c	ftp.sra.ebi.ac.uk/vol1/err/ERR199/003/ERR1999773	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/003/ERR1999773	ftp.sra.ebi.ac.uk/vol1/err/ERR199/003/ERR1999773	Subj2_Week2_White_End		Bread project WGS samples		2017-06-03			
ERR1999777	ERP019513	SAMEA104112448	ERS1776341	ERX2059646	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	6948646	550554886	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-11	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-11	368459699	af58ca3463e8c93103a2966bab8baf10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1999777/ERR1999777.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/007/ERR1999777/ERR1999777.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1999777/ERR1999777.fastq.gz	338828377	a5f7f1a58e0f953ed55c6468764acc82	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999777/Subj4_Week1_White_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999777/Subj4_Week1_White_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999777/Subj4_Week1_White_End.fastq.gz	FASTQ	246030137	0c931355838b3fc51be93d53338901fb	ftp.sra.ebi.ac.uk/vol1/err/ERR199/007/ERR1999777	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/007/ERR1999777	ftp.sra.ebi.ac.uk/vol1/err/ERR199/007/ERR1999777	Subj4_Week1_White_End		Bread project WGS samples		2017-06-03			
ERR1999769	ERP019513	SAMEA104112440	ERS1776333	ERX2059638	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	4617620	365689400	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-3	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-3	248475036	78ff25ffe6db4de454a43dec0fd2d73b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999769/ERR1999769.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/009/ERR1999769/ERR1999769.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999769/ERR1999769.fastq.gz	229039119	8f282953d0ab1074c198eea21cd999c4	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999769/Subj1_Week2_Srdgh_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999769/Subj1_Week2_Srdgh_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999769/Subj1_Week2_Srdgh_End.fastq.gz	FASTQ	166205359	7fba9f6f98d389f9d8211722c9c4848d	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999769	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/009/ERR1999769	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999769	Subj1_Week2_Srdgh_End		Bread project WGS samples		2017-06-03			
ERR1999779	ERP019513	SAMEA104112450	ERS1776343	ERX2059648	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	5900653	467515698	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-13	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-13	312446798	e19020fbd96e00b49fc752b554bde5d8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999779/ERR1999779.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/009/ERR1999779/ERR1999779.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999779/ERR1999779.fastq.gz	287760114	206eaf44c1faebdda5f0fb2654e03faa	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999779/Subj4_Week2_Srdgh_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999779/Subj4_Week2_Srdgh_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999779/Subj4_Week2_Srdgh_End.fastq.gz	FASTQ	208520093	ee0a0ffcd4dcac74f4aa22aa2bcda2b0	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999779	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/009/ERR1999779	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999779	Subj4_Week2_Srdgh_End		Bread project WGS samples		2017-06-03			
ERR1999780	ERP019513	SAMEA104112451	ERS1776344	ERX2059649	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	2429920	192522358	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-14	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-14	129957347	6a108a36195d7e0cabbae125c066284f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999780/ERR1999780.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/000/ERR1999780/ERR1999780.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999780/ERR1999780.fastq.gz	119821394	94c65e4ca6d908f93252b774d5cc996b	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999780/Subj4_Week2_Srdgh_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999780/Subj4_Week2_Srdgh_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999780/Subj4_Week2_Srdgh_Start.fastq.gz	FASTQ	86619888	b1d7e3467d4541eeadc462345fef0666	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999780	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/000/ERR1999780	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999780	Subj4_Week2_Srdgh_Start		Bread project WGS samples		2017-06-03			
ERR1999782	ERP019513	SAMEA104112453	ERS1776346	ERX2059651	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	7429293	589250072	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-16	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-16	385617984	f5d322464f3ea6ce0ecb147ff6083f11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1999782/ERR1999782.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/002/ERR1999782/ERR1999782.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1999782/ERR1999782.fastq.gz	354397374	05e4238b593600c829534a4f988338b5	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999782/Subj5_Week1_Srdgh_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999782/Subj5_Week1_Srdgh_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999782/Subj5_Week1_Srdgh_Start.fastq.gz	FASTQ	256318093	541eeafad77f587c4deca10e29dd33f3	ftp.sra.ebi.ac.uk/vol1/err/ERR199/002/ERR1999782	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/002/ERR1999782	ftp.sra.ebi.ac.uk/vol1/err/ERR199/002/ERR1999782	Subj5_Week1_Srdgh_Start		Bread project WGS samples		2017-06-03			
ERR1999770	ERP019513	SAMEA104112441	ERS1776334	ERX2059639	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	4292810	340034465	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-4	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:203-4	230071052	edb0895fd1848cfa743b32b293ff4f75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999770/ERR1999770.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/000/ERR1999770/ERR1999770.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999770/ERR1999770.fastq.gz	212077790	82d51c38b3747314753b9f65267ebabc	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999770/Subj1_Week2_Srdgh_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999770/Subj1_Week2_Srdgh_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999770/Subj1_Week2_Srdgh_Start.fastq.gz	FASTQ	153694924	3f6a1245d769a77dd2b1d455f15cd8c9	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999770	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/000/ERR1999770	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999770	Subj1_Week2_Srdgh_Start		Bread project WGS samples		2017-06-03			
ERR1999788	ERP019513	SAMEA104112459	ERS1776352	ERX2059657	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	15496117	1227456648	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-22	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-22	813347619	a282ee84c3aec9c9014c4de721a8f7df	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1999788/ERR1999788.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/008/ERR1999788/ERR1999788.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1999788/ERR1999788.fastq.gz	748221260	7b36b88c7541f3e148e921790c28510e	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999788/Subj6_Week2_Srdgh_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999788/Subj6_Week2_Srdgh_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999788/Subj6_Week2_Srdgh_Start.fastq.gz	FASTQ	547051951	8da585e4100707e49c30417a6a299af5	ftp.sra.ebi.ac.uk/vol1/err/ERR199/008/ERR1999788	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/008/ERR1999788	ftp.sra.ebi.ac.uk/vol1/err/ERR199/008/ERR1999788	Subj6_Week2_Srdgh_Start		Bread project WGS samples		2017-06-03			
ERR1999789	ERP019513	SAMEA104112460	ERS1776353	ERX2059658	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	6916490	548525419	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-23	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-23	360368325	b846bd92a5e61598ed1384b3997ad41e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999789/ERR1999789.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/009/ERR1999789/ERR1999789.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1999789/ERR1999789.fastq.gz	331346599	d035167ad80d4a0d206f6565342029c4	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999789/Subj7_Week1_White_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999789/Subj7_Week1_White_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999789/Subj7_Week1_White_End.fastq.gz	FASTQ	239576268	afbbfbf6045acefc5adc600656f89d77	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999789	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/009/ERR1999789	ftp.sra.ebi.ac.uk/vol1/err/ERR199/009/ERR1999789	Subj7_Week1_White_End		Bread project WGS samples		2017-06-03			
ERR1999790	ERP019513	SAMEA104112461	ERS1776354	ERX2059659	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	3794106	300517519	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-24	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-24	204023243	2d1a484e83ece77097d1bcd1d1f08541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999790/ERR1999790.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/000/ERR1999790/ERR1999790.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1999790/ERR1999790.fastq.gz	187869947	131b68c60a083b3702f58a0fb1dc2c59	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999790/Subj7_Week1_White_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999790/Subj7_Week1_White_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999790/Subj7_Week1_White_Start.fastq.gz	FASTQ	136147893	c522f2ce1a768c086c53b36895bc13a6	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999790	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/000/ERR1999790	ftp.sra.ebi.ac.uk/vol1/err/ERR199/000/ERR1999790	Subj7_Week1_White_Start		Bread project WGS samples		2017-06-03			
ERR1999791	ERP019513	SAMEA104112462	ERS1776355	ERX2059660	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	6575167	520820715	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-25	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-25	351411849	212f6905da00ae699c29715699965cc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1999791/ERR1999791.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/001/ERR1999791/ERR1999791.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1999791/ERR1999791.fastq.gz	323651720	75df45a6771162eb4dee1d5f891d54c9	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999791/Subj7_Week2_Srdgh_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999791/Subj7_Week2_Srdgh_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999791/Subj7_Week2_Srdgh_End.fastq.gz	FASTQ	235239887	5cc1333579b5aacc38a576bbeac519c1	ftp.sra.ebi.ac.uk/vol1/err/ERR199/001/ERR1999791	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/001/ERR1999791	ftp.sra.ebi.ac.uk/vol1/err/ERR199/001/ERR1999791	Subj7_Week2_Srdgh_End		Bread project WGS samples		2017-06-03			
ERR1999794	ERP019513	SAMEA104112465	ERS1776358	ERX2059663	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	4029754	319526614	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-28	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-28	211359756	f2a0653ff430575b8069652615166f9d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1999794/ERR1999794.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/004/ERR1999794/ERR1999794.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1999794/ERR1999794.fastq.gz	194628248	7186aa8a3088c927ff7e8aab4f7b0dc8	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999794/Subj8_Week1_White_Start.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999794/Subj8_Week1_White_Start.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999794/Subj8_Week1_White_Start.fastq.gz	FASTQ	140265758	374925389b82f46b29ca450c0e0db387	ftp.sra.ebi.ac.uk/vol1/err/ERR199/004/ERR1999794	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/004/ERR1999794	ftp.sra.ebi.ac.uk/vol1/err/ERR199/004/ERR1999794	Subj8_Week1_White_Start		Bread project WGS samples		2017-06-03			
ERR1999795	ERP019513	SAMEA104112466	ERS1776359	ERX2059664	PRJEB17643	ERA952328	256318	metagenome	ILLUMINA	NextSeq 500	BreadMGA		SINGLE	WGS	METAGENOMIC	unspecified	5531262	437930319	WEIZMANN INSTITUE OF SCIENCE	2017-06-05	2018-11-16	NextSeq 500 sequencing	A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-03-11-2016-14:19:00:394-624	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-29	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-03-06-2017-08:52:10:204-29	295351149	a38773e8c1fbe221d153fb1afa736d6e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/005/ERR1999795/ERR1999795.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR199/005/ERR1999795/ERR1999795.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/005/ERR1999795/ERR1999795.fastq.gz	272342677	b5dbe068a674e259d95cb1abb1b6baef	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999795/Subj8_Week2_Srdgh_End.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR199/ERR1999795/Subj8_Week2_Srdgh_End.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1999795/Subj8_Week2_Srdgh_End.fastq.gz	FASTQ	197500981	8fa762c62246298c20e48b6fe465b70d	ftp.sra.ebi.ac.uk/vol1/err/ERR199/005/ERR1999795	fasp.sra.ebi.ac.uk:/vol1/err/ERR199/005/ERR1999795	ftp.sra.ebi.ac.uk/vol1/err/ERR199/005/ERR1999795	Subj8_Week2_Srdgh_End		Bread project WGS samples		2017-06-03			
